O3-1,O3-2,NO2-1,NO2-2,CO-1,CO-2
700,358,700,358,985,720
695,494,695,494,981,797
756,828,756,828,1020,950
941,769,941,769,1106,887
1021,714,1021,714,1153,850
1167,672,1167,672,1215,836
1105,671,1105,671,1094,827
712,631,712,631,944,819
735,805,735,805,964,919
851,808,851,808,1003,897
706,964,706,964,914,973
643,1188,643,1188,839,1065
608,1571,608,1571,830,1341
469,1580,469,1580,812,1303
469,1426,469,1426,832,1189
618,1239,618,1239,903,1054
931,1064,931,1064,1022,943
1519,987,1519,987,1378,903
2054,873,2054,873,1745,858
1550,783,1550,783,1326,821
1381,719,1381,719,1215,781
1115,660,1115,660,1138,741
1189,613,1189,613,1244,720
1200,627,1200,627,1261,733
965,697,965,697,1182,780
1018,915,1018,915,1208,915
775,1399,775,1399,1158,1228
1193,1495,1193,1495,1346,1239
1425,1499,1425,1499,1443,1209
1594,1720,1594,1720,1440,1257
1284,1210,1284,1210,1232,1007
1174,1123,1174,1123,1159,1020
937,1209,937,1209,1081,1094
985,1144,985,1144,1083,1045
1041,847,1041,847,1069,909
867,923,867,923,940,1013
822,1166,822,1166,901,1236
624,1280,624,1280,848,1275
669,1193,669,1193,846,1237
628,966,628,966,848,1101
810,752,810,752,980,962
1495,594,1495,594,1408,841
2018,545,2018,545,1716,831
1696,555,1696,555,1475,843
1340,543,1340,543,1262,798
1123,420,1123,420,1156,730
971,373,971,373,1192,715
1000,363,1000,363,1233,726
891,411,891,411,1208,771
852,496,852,496,1215,805
975,738,975,738,1251,958
1192,910,1192,910,1358,1021
1373,821,1373,821,1379,969
1307,740,1307,740,1379,923
1325,852,1325,852,1373,973
918,895,918,895,1197,996
877,1019,877,1019,1238,1055
1024,993,1024,993,1255,1023
1019,1043,1019,1043,1164,1039
823,1111,823,1111,1046,1051
701,1087,701,1087,956,1050
542,1250,542,1250,885,1156
463,1331,463,1331,877,1277
533,1243,533,1243,925,1172
906,1074,906,1074,1086,1048
1447,1258,1447,1258,1490,1144
1835,1189,1835,1189,1763,1104
1552,1092,1552,1092,1462,1038
1092,996,1092,996,1232,960
1071,974,1071,974,1239,934
881,902,881,902,1218,930
907,859,907,859,1235,918
899,970,899,970,1196,952
1074,1062,1074,1062,1288,1019
969,1304,969,1304,1248,1287
1267,1643,1267,1643,1401,1578
1402,1488,1402,1488,1401,1417
1437,1465,1437,1465,1444,1392
1382,1198,1382,1198,1379,1147
1280,1160,1280,1160,1251,1150
1250,1277,1250,1277,1269,1252
1359,1171,1359,1171,1242,1186
1102,1106,1102,1106,1045,1172
768,1036,768,1036,937,1109
656,1196,656,1196,875,1201
683,1170,683,1170,889,1189
670,1312,670,1312,888,1282
656,1251,656,1251,881,1207
926,805,926,805,998,904
1677,736,1677,736,1517,900
1828,774,1828,774,1522,932
1752,826,1752,826,1417,968
1581,636,1581,636,1329,827
1132,516,1132,516,1203,789
1037,531,1037,531,1234,812
1023,558,1023,558,1286,811
1022,565,1022,565,1298,827
989,604,989,604,1308,849
925,794,925,794,1276,1001
795,907,795,907,1234,1021
1263,838,1263,838,1419,978
1184,884,1184,884,1325,996
1272,866,1272,866,1346,1014
1177,909,1177,909,1241,1061
1231,990,1231,990,1274,1092
1243,1050,1243,1050,1321,1129
1427,1023,1427,1023,1424,1077
1454,1103,1454,1103,1357,1153
1183,1239,1183,1239,1123,1234
908,1384,908,1384,1003,1319
821,1289,821,1289,951,1251
777,1180,777,1180,941,1165
888,855,888,855,986,954
1076,857,1076,857,1153,971
1285,811,1285,811,1323,961
1315,794,1315,794,1315,952
1250,612,1250,612,1303,875
978,590,978,590,1238,891
1072,807,1072,807,1259,1006
1064,702,1064,702,1246,907
825,753,825,753,1154,938
924,709,924,709,1237,925
966,1087,966,1087,1315,1157
1302,1126,1302,1126,1466,1169
1256,1386,1256,1386,1409,1312
1068,1476,1068,1476,1366,1347
1070,1424,1070,1424,1241,1321
792,1310,792,1310,1123,1267
1017,1114,1017,1114,1321,1234
1207,1029,1207,1029,1397,1101
1499,1101,1499,1101,1507,1149
1474,1040,1474,1040,1405,1094
1163,856,1163,856,1192,1056
1189,836,1189,836,1199,1030
815,894,815,894,973,1075
507,696,507,696,864,927
506,524,506,524,886,793
716,506,716,506,988,796
795,453,795,453,1008,780
594,434,594,434,976,774
565,373,565,373,978,718
523,330,523,330,987,705
591,305,591,305,1030,689
559,286,559,286,955,678
430,268,430,268,924,655
522,261,522,261,1005,649
641,274,641,274,1059,647
738,291,738,291,1079,667
778,304,778,304,1070,669
718,301,718,301,1085,667
689,329,689,329,1066,705
852,350,852,350,1094,710
854,380,854,380,1110,713
664,356,664,356,968,703
544,383,544,383,906,738
461,429,461,429,849,795
352,556,352,556,774,861
308,537,308,537,746,836
301,554,301,554,753,812
307,518,307,518,749,771
441,416,441,416,864,711
775,433,775,433,1002,741
907,393,907,393,970,696
763,353,763,353,898,692
649,314,649,314,847,679
598,296,598,296,847,676
579,297,579,297,871,681
596,302,596,302,869,683
595,348,595,348,875,704
607,508,607,508,895,767
662,936,662,936,926,964
822,944,822,944,996,925
987,843,987,843,997,883
966,820,966,820,1006,894
763,793,763,793,895,881
617,737,617,737,862,867
564,718,564,718,858,856
646,743,646,743,853,862
753,848,753,848,859,891
669,991,669,991,837,931
435,1191,435,1191,746,1025
436,1169,436,1169,752,1029
403,1167,403,1167,742,1038
532,966,532,966,774,904
536,796,536,796,798,844
917,712,917,712,1002,839
1481,701,1481,701,1210,844
1187,591,1187,591,1058,800
1220,609,1220,609,1106,786
1381,467,1381,467,1153,737
1103,391,1103,391,1047,732
1105,395,1105,395,1091,737
1248,510,1248,510,1162,778
976,779,976,779,1059,867
898,1395,898,1395,1083,1248
1038,1706,1038,1706,1150,1389
1395,1479,1395,1479,1321,1184
,1403,,1403,,1160
,1072,,1072,,982
,929,,929,,948
,1024,,1024,,1017
,1010,,1010,,985
,1046,,1046,,1017
,1264,,1264,,1121
,1365,,1365,,1129
,1281,,1281,,1101
,1463,,1463,,1182
,1388,,1388,,1144
,1195,,1195,,1046
,1111,,1111,,990
,992,,992,,974
,1019,,1019,,953
,828,,828,,868
,752,,752,,833
,699,,699,,786
,719,,719,,834
,761,,761,,845
,830,,830,,929
,1318,,1318,,1234
,1482,,1482,,1270
,1474,,1474,,1241
,1632,,1632,,1268
,1592,,1592,,1248
,1679,,1679,,1317
,1670,,1670,,1308
,1650,,1650,,1321
,1692,,1692,,1360
,2155,,2155,,1659
,2452,,2452,,1802
,2032,,2032,,1549
,1751,,1751,,1407
,1675,,1675,,1374
,1312,,1312,,1127
,1179,,1179,,1096
,1197,,1197,,1119
,995,,995,,999
,971,,971,,987
,876,,876,,912
,844,,844,,893
,813,,813,,878
,1005,,1005,,996
,1170,,1170,,1119
,1533,,1533,,1407
,1783,,1783,,1503
,1818,,1818,,1446
,1826,,1826,,1416
,1839,,1839,,1448
,1428,,1428,,1282
,1353,,1353,,1271
,1491,,1491,,1321
,1517,,1517,,1362
,1413,,1413,,1316
,1429,,1429,,1374
,1503,,1503,,1388
,1636,,1636,,1422
,1687,,1687,,1281
,1405,,1405,,1192
,1199,,1199,,1108
,1090,,1090,,1071
,898,,898,,999
,663,,663,,925
,611,,611,,886
,625,,625,,888
,606,,606,,863
,515,,515,,870
,826,,826,,1043
,1542,,1542,,1478
,1626,,1626,,1436
,1538,,1538,,1354
,1441,,1441,,1290
,1217,,1217,,1203
,1320,,1320,,1298
,1368,,1368,,1352
,1199,,1199,,1247
,1375,,1375,,1375
,1682,,1682,,1553
,1761,,1761,,1521
,1883,,1883,,1623
,1855,,1855,,1510
,1078,,1078,,837
,620,,620,,667
,645,,645,,695
,627,,627,,683
,645,,645,,695
,641,,641,,703
,591,,591,,698
,594,,594,,714
,500,,500,,692
,628,,628,,729
,1040,,1040,,880
,1159,,1159,,974
,1330,,1330,,1086
,1402,,1402,,1087
,1104,,1104,,933
,855,,855,,852
,862,,862,,882
,973,,973,,888
,936,,936,,878
,1009,,1009,,892
,1475,,1475,,1117
,1765,,1765,,1252
,1329,,1329,,1012
,1262,,1262,,1025
,1230,,1230,,1033
,1229,,1229,,1008
,1196,,1196,,992
,1433,,1433,,1187
,1249,,1249,,1065
,983,,983,,889
,965,,965,,901
,932,,932,,875
,770,,770,,808
,788,,788,,858
,819,,819,,819
,879,,879,,862
,924,,924,,877
,964,,964,,941
,1055,,1055,,983
,1383,,1383,,1067
,1367,,1367,,1100
,1120,,1120,,958
,775,,775,,866
,1150,,1150,,1018
,1528,,1528,,1175
,1655,,1655,,1197
,1393,,1393,,1110
,1338,,1338,,1060
,1403,,1403,,1136
,1327,,1327,,1049
,1346,,1346,,1053
,1132,,1132,,970
,1209,,1209,,1049
,1044,,1044,,919
,936,,936,,870
,840,,840,,814
,847,,847,,820
,959,,959,,897
,1133,,1133,,988
,1511,,1511,,1242
,2346,,2346,,1493
,2311,,2311,,1394
,1798,,1798,,1252
,1750,,1750,,1255
,1863,,1863,,1360
,1883,,1883,,1369
,1851,,1851,,1361
,1919,,1919,,1411
,2078,,2078,,1509
,2434,,2434,,1738
,2515,,2515,,1766
,2522,,2522,,1706
,2334,,2334,,1472
,2199,,2199,,1392
,1861,,1861,,1335
,1751,,1751,,1285
,1652,,1652,,1267
,1455,,1455,,1176
,1158,,1158,,1079
,1126,,1126,,1084
,1126,,1126,,1091
,1158,,1158,,1126
,1237,,1237,,1210
,1696,,1696,,1565
,1800,,1800,,1578
,1967,,1967,,1702
,1862,,1862,,1552
,2003,,2003,,1590
,2041,,2041,,1640
,2202,,2202,,1769
,1966,,1966,,1581
,2030,,2030,,1658
,2201,,2201,,1821
,2386,,2386,,1982
,2342,,2342,,2008
,2237,,2237,,1918
,2025,,2025,,1693
,1853,,1853,,1495
,1817,,1817,,1449
,1704,,1704,,1439
,1463,,1463,,1270
,1299,,1299,,1163
,1205,,1205,,1130
,1019,,1019,,1023
,867,,867,,931
,911,,911,,953
,1106,,1106,,1108
,1479,,1479,,1414
,1568,,1568,,1423
,1530,,1530,,1352
,1582,,1582,,1303
,1235,,1235,,1103
,1195,,1195,,1138
,1471,,1471,,1278
,1582,,1582,,1292
,1671,,1671,,1374
,1711,,1711,,1464
,1852,,1852,,1562
,1902,,1902,,1592
,1961,,1961,,1669
,1689,,1689,,1429
,1580,,1580,,1354
,1428,,1428,,1311
,1434,,1434,,1311
,1389,,1389,,1292
,1130,,1130,,1091
,983,,983,,1009
,1025,,1025,,1050
,1050,,1050,,1053
,1038,,1038,,1016
,1080,,1080,,1057
,1411,,1411,,1309
,1549,,1549,,1315
,1659,,1659,,1315
,1434,,1434,,1111
,1310,,1310,,1087
,1227,,1227,,1104
,1261,,1261,,1142
,1261,,1261,,1164
,1345,,1345,,1214
,1608,,1608,,1369
,1653,,1653,,1368
,1442,,1442,,1226
,1421,,1421,,1225
,1329,,1329,,1190
,1212,,1212,,1128
,1179,,1179,,1105
,1231,,1231,,1152
,1214,,1214,,1141
,1134,,1134,,1121
,992,,992,,1043
,989,,989,,1090
,897,,897,,982
,885,,885,,974
,1059,,1059,,1118
,1567,,1567,,1508
,1727,,1727,,1521
,2021,,2021,,1562
,1795,,1795,,1392
,1852,,1852,,1439
,1943,,1943,,1539
,2058,,2058,,1608
,1972,,1972,,1589
,2098,,2098,,1704
,2244,,2244,,1822
,2465,,2465,,1956
,2096,,2096,,1676
,2190,,2190,,1834
,2234,,2234,,1759
,2048,,2048,,1518
,2044,,2044,,1502
,1881,,1881,,1499
,1774,,1774,,1531
,1615,,1615,,1424
,1473,,1473,,1279
,1380,,1380,,1250
,1251,,1251,,1189
,1173,,1173,,1197
,1217,,1217,,1273
,1193,,1193,,1298
,1358,,1358,,1453
,1481,,1481,,1492
,1532,,1532,,1481
,1675,,1675,,1524
,1709,,1709,,1562
,1743,,1743,,1567
,1774,,1774,,1568
,1804,,1804,,1622
,1555,,1555,,1515
,1621,,1621,,1603
,1614,,1614,,1514
,1637,,1637,,1567
,1485,,1485,,1380
,1280,,1280,,1214
,1236,,1236,,1225
,1204,,1204,,1250
,1069,,1069,,1143
,957,,957,,1046
,828,,828,,953
,748,,748,,913
,663,,663,,858
,644,,644,,848
,662,,662,,871
,736,,736,,909
,761,,761,,906
,696,,696,,859
,871,,871,,1028
,1004,,1004,,1089
,1133,,1133,,1184
,1140,,1140,,1136
,999,,999,,1069
,1124,,1124,,1214
,1193,,1193,,1212
,1258,,1258,,1218
,1356,,1356,,1279
,1468,,1468,,1382
,1390,,1390,,1292
,1348,,1348,,1250
,1355,,1355,,1260
,1315,,1315,,1203
,1183,,1183,,1146
,1117,,1117,,1130
,1001,,1001,,1032
,925,,925,,993
,940,,940,,987
,956,,956,,1018
,1064,,1064,,1129
,1515,,1515,,1440
,1803,,1803,,1609
,1927,,1927,,1573
,2197,,2197,,1705
,2038,,2038,,1551
,1339,,1339,,1163
,1328,,1328,,1186
,1227,,1227,,1166
,1199,,1199,,1200
,1046,,1046,,1134
,1132,,1132,,1161
,986,,986,,1117
,991,,991,,1114
,847,,847,,1022
,783,,783,,996
,752,,752,,1002
,737,,737,,1032
,796,,796,,1052
,765,,765,,1014
,636,,636,,897
,539,,539,,878
,483,,483,,840
,537,,537,,879
,707,,707,,999
,1070,,1070,,1251
,1248,,1248,,1351
,1261,,1261,,1312
,1209,,1209,,1201
,1039,,1039,,1120
,977,,977,,1071
,976,,976,,1085
,995,,995,,1113
,1350,,1350,,1310
,1215,,1215,,1183
,1461,,1461,,1362
,1598,,1598,,1408
,1669,,1669,,1471
,1223,,1223,,1157
,939,,939,,1061
,902,,902,,1006
,933,,933,,1039
,766,,766,,886
,749,,749,,900
,709,,709,,856
,746,,746,,857
,757,,757,,844
,792,,792,,927
,921,,921,,1007
,1318,,1318,,1318
,1547,,1547,,1396
,1516,,1516,,1337
,1340,,1340,,1202
,1556,,1556,,1309
,1582,,1582,,1351
,1791,,1791,,1501
,1631,,1631,,1426
,1679,,1679,,1544
,1681,,1681,,1566
,1718,,1718,,1547
,1193,,1193,,1124
,1044,,1044,,1090
,925,,925,,1034
,889,,889,,1040
,929,,929,,1060
,958,,958,,1076
,844,,844,,975
,830,,830,,987
,785,,785,,928
,743,,743,,889
,711,,711,,880
,819,,819,,919
,981,,981,,1073
,1480,,1480,,1435
,1691,,1691,,1477
,1548,,1548,,1337
,1523,,1523,,1308
,1406,,1406,,1245
,1476,,1476,,1295
,1481,,1481,,1338
,1534,,1534,,1405
,1592,,1592,,1456
,1688,,1688,,1516
,1940,,1940,,1707
,2069,,2069,,1816
,1943,,1943,,1713
,1846,,1846,,1646
,1611,,1611,,1468
,1487,,1487,,1443
,1208,,1208,,1289
,1043,,1043,,1194
,979,,979,,1165
,806,,806,,1003
,768,,768,,986
,720,,720,,930
,785,,785,,988
,903,,903,,1094
,1389,,1389,,1528
,1649,,1649,,1628
,1621,,1621,,1555
,1362,,1362,,1290
,1624,,1624,,1280
,1605,,1605,,1302
,1608,,1608,,1332
,1522,,1522,,1332
,1708,,1708,,1493
,1885,,1885,,1648
,1657,,1657,,1482
,1645,,1645,,1501
,1729,,1729,,1601
,1556,,1556,,1421
,1317,,1317,,1232
,1290,,1290,,1270
,1287,,1287,,1257
,1235,,1235,,1246
,1144,,1144,,1166
,1004,,1004,,1062
,944,,944,,1005
,972,,972,,1032
,968,,968,,1034
,954,,954,,1024
,1201,,1201,,1243
,1017,,1017,,1148
,1039,,1039,,1182
,911,,911,,1015
,1059,,1059,,1175
,1213,,1213,,1224
,1003,,1003,,1123
,1017,,1017,,1187
,937,,937,,1116
,987,,987,,1131
,1131,,1131,,1215
,969,,969,,1077
,1062,,1062,,1210
,1058,,1058,,1181
,959,,959,,1088
,887,,887,,1054
,911,,911,,1096
,914,,914,,1042
,786,,786,,887
,741,,741,,884
,727,,727,,862
,686,,686,,821
,648,,648,,797
,645,,645,,802
,679,,679,,848
,696,,696,,863
,735,,735,,889
,803,,803,,969
,848,,848,,1013
,882,,882,,1100
,812,,812,,1019
,889,,889,,1061
,749,,749,,940
,682,,682,,904
,922,,922,,1120
,833,,833,,987
,808,,808,,971
,790,,790,,965
,685,,685,,873
,706,,706,,892
,636,,636,,857
,678,,678,,901
,714,,714,,901
,726,,726,,904
,646,,646,,857
,685,,685,,881
,750,,750,,913
,878,,878,,1012
,1238,,1238,,1314
,1572,,1572,,1479
,1488,,1488,,1299
,1424,,1424,,1221
,1338,,1338,,1171
,1559,,1559,,1316
,1415,,1415,,1208
,1331,,1331,,1145
,1315,,1315,,1189
,1289,,1289,,1173
,1389,,1389,,1237
,1351,,1351,,1253
,1267,,1267,,1155
,1279,,1279,,1175
,1071,,1071,,1001
,994,,994,,1014
,956,,956,,966
,936,,936,,987
,826,,826,,888
,839,,839,,911
,748,,748,,828
,740,,740,,857
,783,,783,,886
,891,,891,,964
,1197,,1197,,1230
,1311,,1311,,1236
,1472,,1472,,1322
,1694,,1694,,1407
,1639,,1639,,1357
,1469,,1469,,1289
,1415,,1415,,1257
,1250,,1250,,1199
,1236,,1236,,1181
,1212,,1212,,1175
,1212,,1212,,1202
,1195,,1195,,1170
,1200,,1200,,1115
,1209,,1209,,1130
,1276,,1276,,1195
,1132,,1132,,1111
,1061,,1061,,1092
,1036,,1036,,1111
,911,,911,,992
,951,,951,,1051
,1033,,1033,,1080
,816,,816,,893
,822,,822,,923
,841,,841,,950
,795,,795,,947
,831,,831,,973
,1025,,1025,,1111
,1178,,1178,,1206
,1181,,1181,,1202
,1250,,1250,,1261
,1039,,1039,,1102
,899,,899,,997
,1019,,1019,,1049
,1057,,1057,,1082
,1229,,1229,,1177
,1135,,1135,,1166
,1188,,1188,,1352
,1060,,1060,,1210
,962,,962,,1161
,939,,939,,1142
,864,,864,,1054
,741,,741,,926
,642,,642,,873
,539,,539,,832
,449,,449,,803
,437,,437,,818
,457,,457,,814
,512,,512,,832
,931,,931,,1091
,905,,905,,1019
,790,,790,,937
,850,,850,,950
,870,,870,,962
,842,,842,,969
,886,,886,,1010
,801,,801,,946
,895,,895,,988
,827,,827,,948
,972,,972,,1045
,1079,,1079,,1114
,964,,964,,1006
,743,,743,,889
,517,,517,,792
,468,,468,,808
,461,,461,,814
,483,,483,,827
,482,,482,,801
,416,,416,,770
,367,,367,,721
,324,,324,,709
,378,,378,,734
,480,,480,,770
,822,,822,,919
,1060,,1060,,996
,916,,916,,925
,844,,844,,883
,807,,807,,884
,853,,853,,920
,884,,884,,941
,834,,834,,934
,893,,893,,929
,1037,,1037,,972
,1244,,1244,,1073
,1269,,1269,,1050
,1125,,1125,,980
,946,,946,,872
,751,,751,,802
,670,,670,,792
,754,,754,,857
,781,,781,,856
,842,,842,,869
,840,,840,,890
,746,,746,,834
,754,,754,,860
,905,,905,,909
,960,,960,,955
,1080,,1080,,1035
,1209,,1209,,1087
,1243,,1243,,1101
,1273,,1273,,1135
,1216,,1216,,1095
,976,,976,,986
,973,,973,,991
,827,,827,,926
,912,,912,,974
,1084,,1084,,1042
,1045,,1045,,1006
,1026,,1026,,979
,1172,,1172,,1072
,1452,,1452,,1217
,1317,,1317,,1124
,1365,,1365,,1152
,1378,,1378,,1216
,1246,,1246,,1095
,1186,,1186,,1099
,1024,,1024,,974
,1187,,1187,,1091
,1007,,1007,,955
,1019,,1019,,975
,921,,921,,909
,1038,,1038,,992
,1105,,1105,,1018
,1208,,1208,,1100
,1208,,1208,,1101
,1282,,1282,,1148
,1494,,1494,,1253
,1500,,1500,,1229
,1463,,1463,,1250
,1722,,1722,,1432
,1934,,1934,,1530
,2018,,2018,,1604
,1796,,1796,,1352
,1594,,1594,,1235
,1389,,1389,,1127
,1238,,1238,,1073
,1221,,1221,,1074
,1254,,1254,,1133
,1098,,1098,,1021
,1044,,1044,,995
,888,,888,,882
,835,,835,,869
,823,,823,,868
,908,,908,,921
,1076,,1076,,1041
,1393,,1393,,1275
,1429,,1429,,1238
,1594,,1594,,1288
,1956,,1956,,1422
,1872,,1872,,1293
,2014,,2014,,1410
,1978,,1978,,1425
,2257,,2257,,1590
,2104,,2104,,1520
,2140,,2140,,1595
,2523,,2523,,1881
,2188,,2188,,1633
,1816,,1816,,1391
,1587,,1587,,1263
,1381,,1381,,1147
,1287,,1287,,1103
,1193,,1193,,1071
,1223,,1223,,1137
,1122,,1122,,1066
,932,,932,,918
,866,,866,,895
,848,,848,,885
,959,,959,,964
,1154,,1154,,1088
,1373,,1373,,1274
,1708,,1708,,1406
,2097,,2097,,1521
,2056,,2056,,1408
,2006,,2006,,1377
,2015,,2015,,1470
,1945,,1945,,1416
,1793,,1793,,1383
,1962,,1962,,1574
